uuid,unitsSold,unitPrice,unitCost,totalRevenue,totalCost,totalProfit
535113847,934,152.58,97.44,142509.72,91008.96,51500.76
874708545,4551,437.2,263.33,1989697.2,1198414.83,791282.37
854349935,9986,9.33,6.92,93169.38,69103.12,24066.26
892836844,9118,81.73,56.67,745214.14,516717.06,228497.08
129280602,5858,668.27,502.54,3914725.66,2943879.32,970846.34
473105037,1149,109.28,35.84,125562.72,41180.16,84382.56
754046475,7964,437.2,263.33,3481860.8,2097160.12,1384700.68
772153747,6307,9.33,6.92,58844.31,43644.44,15199.87
847788178,8217,152.58,97.44,1253749.86,800664.48,453085.38
471623599,2758,437.2,263.33,1205797.6,726264.14,479533.46
554646337,1031,437.2,263.33,450753.2,271493.23,179259.97
278155219,1165,109.28,35.84,127311.2,41753.6,85557.6
243761575,3322,668.27,502.54,2219992.94,1669437.88,550555.06
223389232,4693,668.27,502.54,3136191.11,2358420.22,777770.89
509274518,4502,154.06,90.93,693578.12,409366.86,284211.26
563966262,9004,651.21,524.96,5863494.84,4726739.84,1136755
370325791,6486,9.33,6.92,60514.38,44883.12,15631.26
881526935,2264,154.06,90.93,348791.84,205865.52,142926.32
871056020,3688,47.45,31.79,174995.6,117241.52,57754.08
982711875,5137,651.21,524.96,3345265.77,2696719.52,648546.25
580605828,3022,47.45,31.79,143393.9,96069.38,47324.52
899161708,786,421.89,364.69,331605.54,286646.34,44959.2
993115842,3902,437.2,263.33,1705954.4,1027513.66,678440.74
887517058,4875,205.7,117.11,1002787.5,570911.25,431876.25
227726686,8242,109.28,35.84,900685.76,295393.28,605292.48
529418551,5569,154.06,90.93,857960.14,506389.17,351570.97
228578984,456,154.06,90.93,70251.36,41464.08,28787.28
531506812,3532,651.21,524.96,2300073.72,1854158.72,445915
464813363,7458,437.2,263.33,3260637.6,1963915.14,1296722.46
925422465,1927,205.7,117.11,396383.9,225670.97,170712.93
630570447,8663,421.89,364.69,3654833.07,3159309.47,495523.6
167806136,6420,152.58,97.44,979563.6,625564.8,353998.8
644990861,5984,9.33,6.92,55830.72,41409.28,14421.44
540298449,5173,255.28,159.42,1320563.44,824679.66,495883.78
652215230,3835,255.28,159.42,978998.8,611375.7,367623.1
949540030,8851,421.89,364.69,3734148.39,3227871.19,506277.2
121384179,9131,9.33,6.92,85192.23,63186.52,22005.71
527171504,618,437.2,263.33,270189.6,162737.94,107451.66
546638333,1285,255.28,159.42,328034.8,204854.7,123180.1
429833495,6138,81.73,56.67,501658.74,347840.46,153818.28
947118318,2212,154.06,90.93,340780.72,201137.16,139643.56
239166629,3575,47.45,31.79,169633.75,113649.25,55984.5
566964757,6326,109.28,35.84,691305.28,226723.84,464581.44
661811530,3594,154.06,90.93,553691.64,326802.42,226889.22
675318276,540,109.28,35.84,59011.2,19353.6,39657.6
829408824,9357,421.89,364.69,3947624.73,3412404.33,535220.4
966319501,4269,421.89,364.69,1801048.41,1556861.61,244186.8
998599135,6530,255.28,159.42,1666978.4,1041012.6,625965.8
459109055,9427,152.58,97.44,1438371.66,918566.88,519804.78
751023089,3276,255.28,159.42,836297.28,522259.92,314037.36
197827565,428,651.21,524.96,278717.88,224682.88,54035
793321311,260,109.28,35.84,28412.8,9318.4,19094.4
551615655,4185,81.73,56.67,342040.05,237163.95,104876.1
257134425,645,152.58,97.44,98414.1,62848.8,35565.3
314613950,114,668.27,502.54,76182.78,57289.56,18893.22
299103057,96,152.58,97.44,14647.68,9354.24,5293.44
305963075,128,651.21,524.96,83354.88,67194.88,16160
500867831,6777,255.28,159.42,1730032.56,1080389.34,649643.22
669803655,8641,81.73,56.67,706228.93,489685.47,216543.46
669069373,1351,651.21,524.96,879784.71,709220.96,170563.75
875276315,2567,421.89,364.69,1082991.63,936159.23,146832.4
835348308,6982,152.58,97.44,1065313.56,680326.08,384987.48
616521680,1320,154.06,90.93,203359.2,120027.6,83331.6
356345260,9336,152.58,97.44,1424486.88,909699.84,514787.04
712680375,6815,47.45,31.79,323371.75,216648.85,106722.9
613700854,6575,81.73,56.67,537374.75,372605.25,164769.5
407893025,3465,205.7,117.11,712750.5,405786.15,306964.35
514055716,9365,437.2,263.33,4094378,2466085.45,1628292.55
971300256,8185,205.7,117.11,1683654.5,958545.35,725109.15
989050471,868,154.06,90.93,133724.08,78927.24,54796.84
297042691,388,437.2,263.33,169633.6,102172.04,67461.56
495325744,6750,109.28,35.84,737640,241920,495720
104260957,1989,205.7,117.11,409137.3,232931.79,176205.51
414522159,5173,421.89,364.69,2182436.97,1886541.37,295895.6
537095677,7401,668.27,502.54,4945866.27,3719298.54,1226567.73
553280341,6803,668.27,502.54,4546240.81,3418779.62,1127461.19
164687478,3539,9.33,6.92,33018.87,24489.88,8528.99
943240916,4803,437.2,263.33,2099871.6,1264773.99,835097.61
481176984,9817,47.45,31.79,465816.65,312082.43,153734.22
941044509,4837,154.06,90.93,745188.22,439828.41,305359.81
505704820,8149,668.27,502.54,5445732.23,4095198.46,1350533.77
128331744,5070,421.89,364.69,2138982.3,1848978.3,290004
382411611,2948,205.7,117.11,606403.6,345240.28,261163.32
111743247,6165,152.58,97.44,940655.7,600717.6,339938.1
480437982,1130,668.27,502.54,755145.1,567870.2,187274.9
922919642,1286,47.45,31.79,61020.7,40881.94,20138.76
493924558,2108,651.21,524.96,1372750.68,1106615.68,266135
118501555,6098,154.06,90.93,939457.88,554491.14,384966.74
342011964,7795,651.21,524.96,5076181.95,4092063.2,984118.75
880129611,8765,651.21,524.96,5707855.65,4601274.4,1106581.25
168840825,2607,205.7,117.11,536259.9,305305.77,230954.13
314444434,9951,437.2,263.33,4350577.2,2620396.83,1730180.37
343551766,3457,205.7,117.11,711104.9,404849.27,306255.63
253086650,2819,651.21,524.96,1835760.99,1479862.24,355898.75
560285413,9759,651.21,524.96,6355158.39,5123084.64,1232073.75
