uuid,Country,Item Type,Sales Channel,Order Priority,Order Date,Region,Ship Date
535113847,Azerbaijan,Snacks,Online,C,10/8/14,Middle East and North Africa,10/23/14
874708545,Panama,Cosmetics,Offline,L,2/22/15,Central America and the Caribbean,2/27/15
854349935,Sao Tome and Principe,Fruits,Offline,M,12/9/15,Sub-Saharan Africa,1/18/16
892836844,Sao Tome and Principe,Personal Care,Online,M,9/17/14,Sub-Saharan Africa,10/12/14
129280602,Belize,Household,Offline,H,2/4/10,Central America and the Caribbean,3/5/10
473105037,Denmark,Clothes,Online,C,2/20/13,Europe,2/28/13
754046475,Germany,Cosmetics,Offline,M,3/31/13,Europe,5/3/13
772153747,Turkey,Fruits,Online,C,3/26/12,Middle East and North Africa,4/7/12
847788178,United Kingdom,Snacks,Online,H,12/29/12,Europe,1/15/13
471623599,Kazakhstan,Cosmetics,Online,H,9/11/15,Asia,9/18/15
554646337,Haiti,Cosmetics,Online,C,12/27/13,Central America and the Caribbean,1/1/14
278155219,Italy,Clothes,Online,M,12/17/13,Europe,1/10/14
243761575,Malta,Household,Offline,L,3/10/15,Europe,4/17/15
223389232,Jordan,Household,Offline,L,7/9/14,Middle East and North Africa,7/18/14
509274518,Cambodia,Vegetables,Offline,H,6/14/17,Asia,6/29/17
563966262,Saint Kitts and Nevis ,Office Supplies,Online,H,8/10/11,Central America and the Caribbean,8/29/11
370325791,Cameroon,Fruits,Online,H,12/18/15,Sub-Saharan Africa,2/6/16
881526935,Bahrain,Vegetables,Offline,L,6/26/16,Middle East and North Africa,7/19/16
871056020,Solomon Islands,Beverages,Offline,C,5/11/15,Australia and Oceania,5/30/15
982711875,Monaco,Office Supplies,Online,M,1/13/12,Europe,1/17/12
580605828,Comoros,Beverages,Offline,L,8/10/14,Sub-Saharan Africa,8/20/14
899161708,Iceland,Meat,Online,L,4/22/13,Europe,4/28/13
993115842,Zambia,Cosmetics,Offline,M,7/26/14,Sub-Saharan Africa,8/20/14
887517058,Egypt,Cereal,Online,C,7/14/14,Middle East and North Africa,8/20/14
227726686,Togo,Clothes,Offline,L,6/1/10,Sub-Saharan Africa,6/28/10
529418551,Saudi Arabia,Vegetables,Online,H,11/4/11,Middle East and North Africa,11/20/11
228578984,Morocco,Vegetables,Offline,L,5/15/14,Middle East and North Africa,6/26/14
531506812,Tunisia ,Office Supplies,Offline,L,10/28/10,Middle East and North Africa,11/23/10
464813363,Angola,Cosmetics,Offline,L,4/1/10,Sub-Saharan Africa,4/8/10
925422465,Vietnam,Cereal,Offline,H,5/22/11,Asia,6/2/11
630570447,Belarus,Meat,Online,L,1/20/14,Europe,2/15/14
167806136,Myanmar,Snacks,Offline,C,5/5/15,Asia,6/3/15
644990861,Lithuania,Fruits,Offline,H,5/25/13,Europe,6/4/13
540298449,Switzerland,Baby Food,Offline,M,3/26/11,Europe,5/15/11
652215230,Antigua and Barbuda ,Baby Food,Offline,M,11/30/12,Central America and the Caribbean,1/6/13
949540030,Mongolia,Meat,Offline,M,3/23/12,Asia,3/26/12
121384179,Greenland,Fruits,Online,L,7/30/11,North America,9/12/11
527171504,Eritrea,Cosmetics,Offline,H,8/30/10,Sub-Saharan Africa,10/7/10
546638333,Lithuania,Baby Food,Online,C,3/28/10,Europe,4/28/10
429833495,Saint Vincent and the Grenadines,Personal Care,Offline,L,12/1/15,Central America and the Caribbean,12/8/15
947118318,Portugal,Vegetables,Offline,L,8/26/11,Europe,9/8/11
239166629,Somalia,Beverages,Offline,M,7/17/16,Middle East and North Africa,8/20/16
566964757,Turkey,Clothes,Online,M,11/20/12,Middle East and North Africa,12/7/12
661811530,Israel,Vegetables,Offline,H,7/23/10,Middle East and North Africa,9/10/10
675318276,Dominica,Clothes,Online,H,11/29/12,Central America and the Caribbean,12/28/12
829408824,Luxembourg,Meat,Offline,C,1/7/13,Europe,2/23/13
966319501,Switzerland,Meat,Online,L,7/31/12,Europe,8/1/12
998599135,Singapore,Baby Food,Online,H,8/1/10,Asia,9/5/10
459109055,Cyprus,Snacks,Offline,C,8/25/14,Europe,10/13/14
751023089,Botswana,Baby Food,Offline,H,7/11/14,Sub-Saharan Africa,8/13/14
197827565,Belize,Office Supplies,Online,C,3/7/16,Central America and the Caribbean,4/21/16
793321311,Malawi,Clothes,Online,C,4/15/15,Sub-Saharan Africa,5/9/15
551615655,Kyrgyzstan,Personal Care,Online,H,2/24/16,Asia,3/23/16
257134425,Macedonia,Snacks,Online,C,10/11/12,Europe,10/12/12
314613950,Rwanda,Household,Online,C,5/28/15,Sub-Saharan Africa,5/29/15
299103057,Cape Verde,Snacks,Offline,C,5/19/16,Sub-Saharan Africa,6/11/16
305963075,Pakistan,Office Supplies,Online,L,9/14/16,Middle East and North Africa,10/11/16
500867831,Kyrgyzstan,Baby Food,Offline,M,8/24/14,Asia,9/2/14
669803655,Eritrea,Personal Care,Offline,H,2/11/17,Sub-Saharan Africa,3/14/17
669069373,Israel,Office Supplies,Online,C,2/27/13,Middle East and North Africa,4/10/13
875276315,Libya,Meat,Offline,C,8/9/15,Middle East and North Africa,8/11/15
835348308,Bangladesh,Snacks,Online,M,11/3/11,Asia,11/18/11
616521680,Benin,Vegetables,Offline,M,1/11/13,Sub-Saharan Africa,2/22/13
356345260,Burundi,Snacks,Online,H,6/25/12,Sub-Saharan Africa,7/31/12
712680375,Malta,Beverages,Offline,M,2/21/12,Europe,3/4/12
613700854,Saint Vincent and the Grenadines,Personal Care,Offline,C,3/23/11,Central America and the Caribbean,4/17/11
407893025,China,Cereal,Online,M,1/4/10,Asia,2/14/10
514055716,Dominica,Cosmetics,Online,M,8/23/13,Central America and the Caribbean,9/6/13
971300256,Albania,Cereal,Offline,L,3/5/13,Europe,3/20/13
989050471,Luxembourg,Vegetables,Offline,M,2/2/12,Europe,3/22/12
297042691,Pakistan,Cosmetics,Offline,L,12/3/14,Middle East and North Africa,1/8/15
495325744,Bulgaria,Clothes,Offline,H,12/6/15,Europe,1/10/16
104260957,Egypt,Cereal,Online,M,6/5/10,Middle East and North Africa,6/22/10
414522159,Central African Republic,Meat,Online,M,9/21/13,Sub-Saharan Africa,11/3/13
537095677,Benin,Household,Offline,H,11/28/11,Sub-Saharan Africa,1/2/12
553280341,Turkey,Household,Online,L,1/22/11,Middle East and North Africa,1/27/11
164687478,Ukraine,Fruits,Offline,C,10/3/10,Europe,10/31/10
943240916,Uganda,Cosmetics,Online,H,6/3/15,Sub-Saharan Africa,6/19/15
481176984,Ghana,Beverages,Offline,L,5/27/15,Sub-Saharan Africa,7/12/15
941044509,Namibia,Vegetables,Offline,C,6/19/13,Sub-Saharan Africa,7/22/13
505704820,Republic of the Congo,Household,Online,C,6/14/13,Sub-Saharan Africa,6/17/13
128331744,Netherlands,Meat,Offline,L,6/20/16,Europe,7/15/16
382411611,Australia,Cereal,Online,H,2/14/17,Australia and Oceania,3/13/17
111743247,Montenegro,Snacks,Online,H,11/14/14,Europe,12/10/14
480437982,Iraq,Household,Online,L,3/27/10,Middle East and North Africa,3/30/10
922919642,Cote d'Ivoire,Beverages,Online,H,2/27/16,Sub-Saharan Africa,3/27/16
493924558,Mexico,Office Supplies,Offline,C,5/12/16,North America,6/16/16
118501555,Slovakia,Vegetables,Online,C,7/24/14,Europe,9/4/14
342011964,Bulgaria,Office Supplies,Online,H,7/16/15,Europe,8/20/15
880129611,Afghanistan,Office Supplies,Offline,H,10/11/13,Middle East and North Africa,11/15/13
168840825,Indonesia,Cereal,Online,H,5/28/12,Asia,6/25/12
314444434,Italy,Cosmetics,Online,L,10/30/11,Europe,12/8/11
343551766,Ukraine,Cereal,Offline,M,7/4/13,Europe,7/8/13
253086650,Thailand,Office Supplies,Offline,M,3/11/16,Asia,3/11/16
560285413,Mali,Office Supplies,Offline,M,2/14/12,Sub-Saharan Africa,2/28/12
952696883,Mexico,Personal Care,Offline,M,7/14/13,North America,8/8/13
738182389,Lebanon,Baby Food,Offline,H,1/2/11,Middle East and North Africa,1/24/11
194915759,South Korea,Beverages,Offline,M,2/13/15,Asia,3/18/15
121383321,United Arab Emirates,Meat,Online,C,10/19/14,Middle East and North Africa,10/20/14
486383903,Georgia,Household,Offline,C,5/24/11,Europe,5/31/11
879028832,Guinea-Bissau,Fruits,Offline,C,11/23/14,Sub-Saharan Africa,1/6/15
958741939,Georgia,Vegetables,Online,H,6/2/17,Europe,7/14/17
905259549,Malawi,Personal Care,Offline,C,2/25/12,Sub-Saharan Africa,4/13/12
968630492,Saudi Arabia,Household,Online,M,4/10/12,Middle East and North Africa,5/25/12
119216096,Saint Lucia,Fruits,Online,L,11/22/16,Central America and the Caribbean,12/20/16
997690188,Macedonia,Snacks,Offline,H,10/23/14,Europe,11/26/14
465039098,Rwanda,Beverages,Offline,H,1/16/11,Sub-Saharan Africa,1/26/11
852561652,Dominica,Beverages,Online,C,6/19/15,Central America and the Caribbean,8/2/15
511869180,Libya,Baby Food,Offline,H,4/15/16,Middle East and North Africa,5/18/16
564885509,Angola,Personal Care,Offline,H,2/26/14,Sub-Saharan Africa,3/15/14
853846967,Lesotho,Household,Offline,C,10/7/10,Sub-Saharan Africa,11/24/10
